Stocked-SKU reorder report — company 99, 91 SKUs, 12 to order now
Busy-month policy: busy_month = peak rolling-30-day shipped qty (trailing 365d), capped at 1 month(s) of avg demand (SOLD_1YR/12) to damp one-off spikes; safety = capped busy_month; reorder = +daily_demand×lead_time (assumes 10d, 7–14d window); order-up-to = 2×capped; ORDER NOW when on_hand+on_po−backorder ≤ reorder; PAD items (prodcode 18) sized to days-of-supply instead (safety 7d / reorder 12d / up-to 14d of avg demand — big footprint, weekly truck); recs rounded up to BOX multiples
=========================================================================================================================================================================================================================================
SEQUENCE       VENDOR    ON_HAND    UNASN    ON_PO  INV_POS  SOLD_1YR  BUSY_MO   BOX  SAF_CUR  SAF_REC  ROP_REC     UPTO  QTY_REC  ORDER STYLE                                                             COLOR                         
0000000684670  ALLSURF   1270.00   262.67     0.00  1007.33   5445.67  1179.35     1     1.00   454.00   604.00   908.00     0.00        TITAN 1/2 W/SPILLGUARD 30 SY                                      30 SY                         
0000001235860  DREAM      555.66     0.00     0.00   555.66   1294.32   627.99     1     1.00   108.00   144.00   216.00     0.00        BEACH CLUB I                                                      CANYON 1.000                  
0000000684680  ALLSURF    286.00   164.67   420.00   541.33    821.58   796.58     1     1.00    69.00    91.00   137.00     0.00        VALENCIA 105 OZ 21 LB 12 SY                                       12 SY                         
0000000684590  ALLSURF    600.00     0.00     0.00   600.00    929.00   265.00     1    50.00    78.00   103.00   155.00     0.00        TRAXX MATRIXX UNDERLAYMENT BIRCH 1/4 IN X 4 X 5                   UNDERLAYMENT                  
0000000565039  SHAW       917.84     0.00     0.00   917.84   3462.76  2044.28    42     1.00   292.04   417.20   584.08     0.00        TIMBER GROVE II 20 MIL                                            BOXWOOD V2                    
0000000683273  ALLSURF    745.00    41.00     0.00   704.00    777.00   110.00     1    25.00    65.00    87.00   130.00     0.00        MAPEI ULTRABOND ECO 575 WALL BASE ADHESIVE 28.70 OZ               LIGHT COLORED                 
0000000217508  FIRSTGRA  2698.00     0.00     0.00  2698.00  18776.00  4059.00     1  1000.00  1565.00  2080.00  3130.00   432.00        BASE SHOE RED OAK - FIRST GRADE HARDWOOD                          RED OAK PER LF                
0000001252479  DREAM      882.33     0.00     0.00   882.33   1890.02   505.00     1     1.00   158.00   210.00   316.00     0.00        HOLLYWOOD                                                         CASHMERE 1.000                
0000001133151  MOHAWK     342.33     0.00   607.33   949.66   2116.22   417.98     1   100.00   177.00   235.00   353.00     0.00        ROLL WITH IT 12FT 00IN A                                          RIVER ROCK                    
0000001098454  DREAM      881.10     0.00     0.00   881.10   1377.72   384.48    16   500.00   128.16   160.20   240.30     0.00        PIETRA 12.01X24.02(16.02SQFT/BOX)                                 SANDSTONE                     
0000000290279  DALTILE   1368.64     0.00     0.00  1368.64   2358.46   672.10    12     1.00   207.74   268.84   403.26     0.00        FLORENTINE SQUARE 12X12 MT                                        CARRARA MATTE                 
0000000677125  DALTILE   1702.00     0.00     0.00  1702.00   2110.48   578.68    17     1.00   187.22   238.28   357.42     0.00        FLORENTINE RECTANGLE 12X24 MT                                     CARRARA MATTE                 
0000000402812  KARNDEAN  2232.00     0.00     0.00  2232.00   1224.00   900.00    36   750.00   108.00   144.00   216.00     0.00        KNIGHT TILE (18"X12")                                             PORTLAND STONE                
0000001209299  SHAW       107.28     0.00  2574.72  2682.00   4988.52  1394.64    54     1.00   429.12   590.04   858.24     0.00        TERRAIN II 12 MIL 2.0MM                                           PIRCH                         
0000001112391  ALLSURF   3020.00    91.00     0.00  2929.00   4009.50   664.00     1   200.00   335.00   444.00   669.00     0.00        FLOOR DOT T19-1126 PRO SHOE MOLDING                               TOOL                          
0000000505976  SHAW      6591.76     0.00     0.00  6591.76  24494.68  6216.28    42  2000.00  2044.28  2753.52  4088.56     0.00        SYMBIOTIC 12                                                      MALT                          
0000000654711  FLORSTAR  5400.00     0.00     0.00  5400.00   5596.00  1272.00     1     1.00   467.00   620.00   933.00     0.00        VINYL COVE BASE 4 X 4 X .080                                      FAWN 440022182                
0000001259390  ALLSURF   6704.00     0.00     0.00  6704.00   1760.00   836.00     4     1.00   148.00   196.00   296.00     0.00        ROPPE VINYL COVE BASE 4 X 4 X 1/8                                 BLACK 120.000                 
0000000402811  KARNDEAN  9828.00     0.00     0.00  9828.00   1620.00   504.00    36   750.00   144.00   180.00   288.00     0.00        KNIGHT TILE (18"X12")                                             BATH STONE                    
